x,y,z,real,imag,mag
20,-15,3,-1.63021e-32,0,2.65758e-64
20,-12,3,4.26308e-32,0,1.81738e-63
20,-9,3,1.14884e-31,0,1.31983e-62
20,-6,3,1.27877e-31,0,1.63525e-62
20,-3,3,1.70392e-31,0,2.90334e-62
20,0,3,1.70594e-31,0,2.91023e-62
20,3,3,1.62282e-31,0,2.63355e-62
20,6,3,1.31546e-31,0,1.73045e-62
20,9,3,9.95137e-32,0,9.90298e-63
20,12,3,5.75101e-32,0,3.30741e-63
20,15,3,2.48035e-63,0,6.15214e-126
20,-15,6,-1.12193e-32,0,1.25872e-64
20,-12,6,4.66758e-32,0,2.17863e-63
20,-9,6,8.17677e-32,0,6.68595e-63
20,-6,6,1.15215e-31,0,1.32744e-62
20,-3,6,1.32563e-31,0,1.7573e-62
20,0,6,1.47857e-31,0,2.18617e-62
20,3,6,1.34278e-31,0,1.80307e-62
20,6,6,1.12026e-31,0,1.25497e-62
20,9,6,7.51412e-32,0,5.6462e-63
20,12,6,3.27426e-32,0,1.07208e-63
20,15,6,3.22263e-63,0,1.03853e-125
20,-15,9,-4.3422e-33,0,1.88547e-65
20,-12,9,3.15827e-32,0,9.97466e-64
20,-9,9,5.12179e-32,0,2.62327e-63
20,-6,9,7.40199e-32,0,5.47895e-63
20,-3,9,9.72028e-32,0,9.44838e-63
20,0,9,1.08199e-31,0,1.17071e-62
20,3,9,1.03537e-31,0,1.07199e-62
20,6,9,8.09068e-32,0,6.54591e-63
20,9,9,6.08793e-32,0,3.70629e-63
20,12,9,3.8602e-32,0,1.49011e-63
20,15,9,-1.08872e-32,0,1.18532e-64
20,-15,12,-3.47556e-33,0,1.20795e-65
20,-12,12,9.11922e-33,0,8.31602e-65
20,-9,12,4.79988e-32,0,2.30388e-63
20,-6,12,3.69381e-32,0,1.36442e-63
20,-3,12,5.35184e-32,0,2.86421e-63
20,0,12,4.4441e-32,0,1.975e-63
20,3,12,6.47883e-32,0,4.19752e-63
20,6,12,3.13063e-32,0,9.80083e-64
20,9,12,3.62498e-32,0,1.31405e-63
20,12,12,1.88381e-32,0,3.54873e-64
20,15,12,-2.56124e-33,0,6.55996e-66
20,-15,15,-2.25824e-33,0,5.09967e-66
20,-12,15,-2.33192e-33,0,5.43783e-66
20,-9,15,-5.69736e-33,0,3.24599e-65
