x,y,z,real,imag,mag
20,-9,0,5.51109e-31,-2.78479e-31,3.81271e-61
20,-6,0,6.84625e-31,5.51988e-32,4.71759e-61
20,-3,0,5.99843e-31,5.5087e-31,6.6327e-61
20,0,0,5.5944e-31,5.89245e-31,6.60183e-61
20,3,0,5.17443e-31,5.56367e-31,5.77292e-61
20,6,0,5.44091e-31,-3.74471e-32,2.97437e-61
20,9,0,4.4312e-31,-1.44864e-31,2.1734e-61
20,12,0,3.04794e-31,-2.46986e-31,1.53901e-61
20,15,0,-7.46283e-33,6.91729e-33,1.03543e-64
20,-15,3,-9.791e-32,7.67758e-32,1.54809e-62
20,-12,3,2.98955e-31,-2.61994e-31,1.58015e-61
20,-9,3,6.54673e-31,-2.79425e-31,5.06676e-61
20,-6,3,6.32373e-31,-8.20757e-32,4.06631e-61
20,-3,3,5.68249e-31,4.51102e-31,5.264e-61
20,0,3,5.22219e-31,5.02691e-31,5.2541e-61
20,3,3,4.95664e-31,3.93204e-31,4.00292e-61
20,6,3,4.65088e-31,1.76244e-32,2.16617e-61
20,9,3,4.45896e-31,-2.17418e-31,2.46094e-61
20,12,3,2.84712e-31,-2.44622e-31,1.40901e-61
20,15,3,-5.54776e-61,5.17569e-61,5.75654e-121
20,-15,6,-6.99802e-32,6.35758e-32,8.93911e-63
20,-12,6,3.30648e-31,-3.01131e-31,2.00008e-61
20,-9,6,5.08032e-31,-3.31606e-31,3.68058e-61
20,-6,6,6.07049e-31,-2.10146e-31,4.1267e-61
20,-3,6,5.67486e-31,7.2391e-32,3.27281e-61
20,0,6,5.12271e-31,2.67826e-31,3.34152e-61
20,3,6,4.7346e-31,1.03468e-31,2.3487e-61
20,6,6,4.58625e-31,-1.44252e-31,2.31145e-61
20,9,6,3.85007e-31,-3.30099e-31,2.57196e-61
20,12,6,2.0203e-31,-2.15125e-31,8.70947e-62
20,15,6,-7.22984e-61,7.12211e-61,1.02995e-120
20,-15,9,-2.8359e-32,2.85536e-32,1.61954e-63
20,-12,9,2.50335e-31,-2.42961e-31,1.21698e-61
20,-9,9,3.6296e-31,-3.46448e-31,2.51766e-61
20,-6,9,4.91432e-31,-3.86559e-31,3.90934e-61
20,-3,9,4.93509e-31,-1.61194e-31,2.69534e-61
20,0,9,4.73209e-31,-9.87731e-32,2.33683e-61
20,3,9,4.48207e-31,-9.7926e-32,2.10479e-61
20,6,9,3.95503e-31,-3.46098e-31,2.76206e-61
20,9,9,3.22375e-31,-3.40225e-31,2.19679e-61
20,12,9,2.29488e-31,-2.91045e-31,1.37372e-61
20,15,9,-5.87818e-32,7.91446e-32,9.71918e-63
20,-15,12,-2.5799e-32,3.24567e-32,1.71903e-63
20,-12,12,1.06394e-31,-1.67685e-31,3.94379e-62
20,-9,12,3.24552e-31,-3.04324e-31,1.97947e-61
20,-6,12,2.66638e-31,-2.6791e-31,1.42871e-61
20,-3,12,3.19462e-31,-2.29e-31,1.54497e-61
20,0,12,2.57356e-31,-2.21804e-31,1.15429e-61
20,3,12,3.14864e-31,-2.53921e-31,1.63615e-61
20,6,12,1.7437e-31,-1.70915e-31,5.96169e-62
20,9,12,2.16369e-31,-2.82141e-31,1.26419e-61
20,12,12,1.22072e-31,-1.83587e-31,4.86059e-62
